CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0107,0.9998367091019765
C0001,C0174,0.9995076487423399
C0001,C0011,0.999469058931619
C0002,C0142,0.9992222794865266
C0002,C0159,0.9940310221389992
C0002,C0186,0.9924227150239945
C0003,C0174,0.9954616183264191
C0003,C0001,0.9947015028383681
C0003,C0031,0.9944687672699102
C0004,C0099,0.9963977129438615
C0004,C0087,0.9951501610816332
C0004,C0013,0.9936458665027303
C0005,C0186,0.9997366320857504
C0005,C0159,0.9995929354800007
C0005,C0007,0.9986207023224145
C0006,C0158,0.9970790523954476
C0006,C0187,0.9964054167876268
C0006,C0011,0.9960403036466788
C0007,C0159,0.9991195924608426
C0007,C0115,0.9989769399290063
C0007,C0005,0.9986207023224145
C0008,C0098,0.9900926525734607
C0008,C0049,0.9850617960387235
C0008,C0139,0.984870208062718
C0009,C0198,0.9947630955724229
C0009,C0061,0.9905977902344084
C0009,C0062,0.9817685393828931
C0010,C0199,0.9964746666208004
C0010,C0073,0.9939813193015451
C0010,C0070,0.9939131703829998
C0011,C0107,0.9997318464788634
C0011,C0001,0.999469058931619
C0011,C0174,0.9982373263588908
C0012,C0148,0.9973299852147007
C0012,C0195,0.9969312811880754
C0012,C0013,0.9967919661270895
C0013,C0155,0.9992770740122502
C0013,C0108,0.9973525305751659
C0013,C0099,0.9973011722686844
C0014,C0060,0.9997514761460436
C0014,C0063,0.9847057405350884
C0014,C0089,0.9617383047615818
C0015,C0144,0.9929563265356245
C0015,C0131,0.9891691904110272
C0015,C0042,0.9879751850544716
C0016,C0183,0.9989451655033343
C0016,C0026,0.9953721960545904
C0016,C0079,0.9951956783389124
C0017,C0041,0.9948246219515571
C0017,C0075,0.9934713810035458
C0017,C0051,0.9933501623848829
C0018,C0034,0.9907471601821297
C0018,C0183,0.990626524956314
C0018,C0079,0.9897238725362608
C0019,C0069,0.9947119084188745
C0019,C0199,0.9847858909478105
C0019,C0010,0.9842476102244143
C0020,C0033,0.9967293946246425
C0020,C0058,0.996715295331271
C0020,C0015,0.943754350021242
